Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 1, 18, 300, 208, 208,   0, 1.02015512826444
5, 1, 19, 300, 208, 2006, 0.00938480155436427,   0
5, 1, 19, 300, 208, 208,   0, 1.01077032671007
5, 1, 1, 300, 209, 2006, 2.4212080173023,   0
5, 1, 1, 300, 209, 209,   0, 5.8453132326977
5, 1, 2, 300, 209, 2006, 1.7120526076977,   0
5, 1, 2, 300, 209, 209,   0, 4.133260625
5, 1, 3, 300, 209, 2006, 1.21060400865115,   0
5, 1, 3, 300, 209, 209,   0, 2.92265661634885
5, 1, 4, 300, 209, 2006, 0.856026303848848,   0
5, 1, 4, 300, 209, 209,   0, 2.0666303125
5, 1, 5, 300, 209, 2006, 0.605302004325576,   0
5, 1, 5, 300, 209, 209,   0, 1.46132830817442
5, 1, 6, 300, 209, 2006, 0.428013151924424,   0
5, 1, 6, 300, 209, 209,   0, 1.03331515625
5, 1, 7, 300, 209, 2006, 0.302651002162788,   0
5, 1, 7, 300, 209, 209,   0, 0.730664154087212
5, 1, 8, 300, 209, 2006, 0.214006575962212,   0
5, 1, 8, 300, 209, 209,   0, 0.516657578125
5, 1, 9, 300, 209, 2006, 0.151325501081394,   0
5, 1, 9, 300, 209, 209,   0, 0.365332077043606
5, 1, 10, 300, 209, 2006, 0.107003287981106,   0
5, 1, 10, 300, 209, 209,   0, 0.2583287890625
5, 1, 11, 300, 209, 2006, 0.075662750540697,   0
5, 1, 11, 300, 209, 209,   0, 0.182666038521803
5, 1, 12, 300, 209, 2006, 0.053501643990553,   0
5, 1, 12, 300, 209, 209,   0, 0.12916439453125
5, 1, 13, 300, 209, 2006, 0.0378313752703485,   0
5, 1, 13, 300, 209, 209,   0, 0.0913330192609015
5, 1, 14, 300, 209, 2006, 0.0267508219952765,   0
5, 1, 14, 300, 209, 209,   0, 0.064582197265625
5, 1, 15, 300, 209, 2006, 0.0189156876351743,   0
5, 1, 15, 300, 209, 209,   0, 0.0456665096304508
5, 1, 16, 300, 209, 2006, 0.0133754109976383,   0
5, 1, 16, 300, 209, 209,   0, 0.0322910986328125
5, 1, 17, 300, 209, 2006, 0.00945784381758713,   0
5, 1, 17, 300, 209, 209,   0, 0.0228332548152254
5, 1, 18, 300, 209, 2006, 0.00668770549881913,   0
5, 1, 18, 300, 209, 209,   0, 0.0161455493164063
5, 1, 19, 300, 209, 2006, 0.00472892190879356,   0
5, 1, 19, 300, 209, 209,   0, 0.0114166274076127
5, 1, 1, 300, 210, 2006, 0.0381099543874619,   0
5, 1, 1, 300, 210, 210,   0, 2.07028255561254
5, 1, 2, 300, 210, 2006, 0.0374211032288061,   0
5, 1, 2, 300, 210, 210,   0, 2.03286145238373
5, 1, 3, 300, 210, 2006, 0.0367447033030739,   0
5, 1, 3, 300, 210, 210,   0, 1.99611674908066
5, 1, 4, 300, 210, 2006, 0.0360805295497433,   0
5, 1, 4, 300, 210, 210,   0, 1.96003621953092
5, 1, 5, 300, 210, 2006, 0.0354283609763422,   0
5, 1, 5, 300, 210, 210,   0, 1.92460785855457
5, 1, 6, 300, 210, 2006, 0.0347879805849176,   0
5, 1, 6, 300, 210, 210,   0, 1.88981987796966
5, 1, 7, 300, 210, 2006, 0.0341591752998316,   0
5, 1, 7, 300, 210, 210,   0, 1.85566070266982
5, 1, 8, 300, 210, 2006, 0.033541735896867,   0
5, 1, 8, 300, 210, 210,   0, 1.82211896677296
5, 1, 9, 300, 210, 2006, 0.032935456933608,   0
5, 1, 9, 300, 210, 210,   0, 1.78918350983935
5, 1, 10, 300, 210, 2006, 0.0323401366810852,   0
5, 1, 10, 300, 210, 210,   0, 1.75684337315826
5, 1, 11, 300, 210, 2006, 0.0317555770566536,   0
5, 1, 11, 300, 210, 210,   0, 1.72508779610161
5, 1, 12, 300, 210, 2006, 0.0311815835580818,   0
5, 1, 12, 300, 210, 210,   0, 1.69390621254353
5, 1, 13, 300, 210, 2006, 0.030617965198839,   0
5, 1, 13, 300, 210, 210,   0, 1.66328824734469
5, 1, 14, 300, 210, 2006, 0.0300645344445409,   0
5, 1, 14, 300, 210, 210,   0, 1.63322371290015
5, 1, 15, 300, 210, 2006, 0.0295211071505588,   0
5, 1, 15, 300, 210, 210,   0, 1.60370260574959
5, 1, 16, 300, 210, 2006, 0.028987502500742,   0
5, 1, 16, 300, 210, 210,   0, 1.57471510324885
5, 1, 17, 300, 210, 2006, 0.0284635429472575,   0
5, 1, 17, 300, 210, 210,   0, 1.54625156030159
5, 1, 18, 300, 210, 2006, 0.0279490541515133,   0
5, 1, 18, 300, 210, 210,   0, 1.51830250615008
5, 1, 19, 300, 210, 2006, 0.0274438649261508,   0
5, 1, 19, 300, 210, 210,   0, 1.49085864122393
5, 1, 1, 301, 204, 2006, 0.115540718825196,   0
5, 1, 1, 301, 204, 204,   0, 14.9444057811748
5, 1, 2, 301, 204, 2006, 0.114654284221551,   0
5, 1, 2, 301, 204, 204,   0, 14.8297514969533
5, 1, 3, 301, 204, 2006, 0.113774650391822,   0
5, 1, 3, 301, 204, 204,   0, 14.7159768465614
5, 1, 4, 301, 204, 2006, 0.112901765160098,   0
5, 1, 4, 301, 204, 204,   0, 14.6030750814013
5, 1, 5, 301, 204, 2006, 0.112035576750781,   0
5, 1, 5, 301, 204, 204,   0, 14.4910395046506
5, 1, 6, 301, 204, 2006, 0.111176033785489,   0
5, 1, 6, 301, 204, 204,   0, 14.3798634708651
5, 1, 7, 301, 204, 2006, 0.110323085280013,   0
5, 1, 7, 301, 204, 204,   0, 14.2695403855851
5, 1, 8, 301, 204, 2006, 0.109476680641308,   0
5, 1, 8, 301, 204, 204,   0, 14.1600637049437
5, 1, 9, 301, 204, 2006, 0.108636769664471,   0
5, 1, 9, 301, 204, 204,   0, 14.0514269352793
5, 1, 10, 301, 204, 2006, 0.107803302529785,   0
5, 1, 10, 301, 204, 204,   0, 13.9436236327495
5, 1, 11, 301, 204, 2006, 0.106976229799747,   0
5, 1, 11, 301, 204, 204,   0, 13.8366474029497
5, 1, 12, 301, 204, 2006, 0.106155502416133,   0
5, 1, 12, 301, 204, 204,   0, 13.7304919005336
5, 1, 13, 301, 204, 2006, 0.105341071697113,   0
5, 1, 13, 301, 204, 204,   0, 13.6251508288365
5, 1, 14, 301, 204, 2006, 0.104532889334335,   0
5, 1, 14, 301, 204, 204,   0, 13.5206179395022
5, 1, 15, 301, 204, 2006, 0.103730907390069,   0
5, 1, 15, 301, 204, 204,   0, 13.4168870321121
5, 1, 16, 301, 204, 2006, 0.102935078294381,   0
5, 1, 16, 301, 204, 204,   0, 13.3139519538177
5, 1, 17, 301, 204, 2006, 0.102145354842277,   0
5, 1, 17, 301, 204, 204,   0, 13.2118065989754
5, 1, 18, 301, 204, 2006, 0.10136169019094,   0
5, 1, 18, 301, 204, 204,   0, 13.1104449087845
5, 1, 19, 301, 204, 2006, 0.100584037856912,   0
5, 1, 19, 301, 204, 204,   0, 13.0098608709276
5, 1, 1, 301, 205, 2006, 0.0110833817646765,   0
5, 1, 1, 301, 205, 205,   0, 1.19371233823532
5, 1, 2, 301, 205, 2006, 0.0109814214494941,   0
5, 1, 2, 301, 205, 205,   0, 1.18273091678583
5, 1, 3, 301, 205, 2006, 0.0108803991066828,   0
5, 1, 3, 301, 205, 205,   0, 1.17185051767915
5, 1, 4, 301, 205, 2006, 0.0107803061074716,   0
5, 1, 4, 301, 205, 205,   0, 1.16107021157168
5, 1, 5, 301, 205, 2006, 0.0106811339024699,   0
5, 1, 5, 301, 205, 205,   0, 1.15038907766921
5, 1, 6, 301, 205, 2006, 0.0105828740209351,   0
5, 1, 6, 301, 205, 205,   0, 1.13980620364827
5, 1, 7, 301, 205, 2006, 0.0104855180700514,   0
5, 1, 7, 301, 205, 205,   0, 1.12932068557822
5, 1, 8, 301, 205, 2006, 0.0103890577342103,   0
5, 1, 8, 301, 205, 205,   0, 1.11893162784401
5, 1, 9, 301, 205, 2006, 0.0102934847743035,   0
5, 1, 9, 301, 205, 205,   0, 1.10863814306971
5, 1, 10, 301, 205, 2006, 0.0101987910270163,   0
5, 1, 10, 301, 205, 205,   0, 1.09843935204269
5, 1, 11, 301, 205, 2006, 0.0101049684041317,   0
5, 1, 11, 301, 205, 205,   0, 1.08833438363856
5, 1, 12, 301, 205, 2006, 0.0100120088918394,   0
5, 1, 12, 301, 205, 205,   0, 1.07832237474672
5, 1, 13, 301, 205, 2006, 0.00991990455005132,   0
5, 1, 13, 301, 205, 205,   0, 1.06840247019667
5, 1, 14, 301, 205, 2006, 0.00982864751172352,   0
5, 1, 14, 301, 205, 205,   0, 1.05857382268494
5, 1, 15, 301, 205, 2006, 0.00973822998218332,   0
5, 1, 15, 301, 205, 205,   0, 1.04883559270276
5, 1, 16, 301, 205, 2006, 0.00964864423846512,   0
5, 1, 16, 301, 205, 205,   0, 1.03918694846429
5, 1, 17, 301, 205, 2006, 0.00955988262864915,   0
5, 1, 17, 301, 205, 205,   0, 1.02962706583565
5, 1, 18, 301, 205, 2006, 0.00947193757120934,   0
5, 1, 18, 301, 205, 205,   0, 1.02015512826444
5, 1, 19, 301, 205, 2006, 0.00938480155436427,   0
5, 1, 19, 301, 205, 205,   0, 1.01077032671007
5, 1, 1, 301, 206, 2006, 0.108885583964176,   0
5, 1, 1, 301, 206, 206,   0, 5.91509301603583
5, 1, 2, 301, 206, 2006, 0.106917437796589,   0
5, 1, 2, 301, 206, 206,   0, 5.80817557823924
5, 1, 3, 301, 206, 2006, 0.104984866580211,   0
5, 1, 3, 301, 206, 206,   0, 5.70319071165903
5, 1, 4, 301, 206, 2006, 0.103087227284981,   0
5, 1, 4, 301, 206, 206,   0, 5.60010348437404
5, 1, 5, 301, 206, 2006, 0.101223888503835,   0
5, 1, 5, 301, 206, 206,   0, 5.49887959587021
5, 1, 6, 301, 206, 2006, 0.0993942302426216,   0
5, 1, 6, 301, 206, 206,   0, 5.39948536562759
5, 1, 7, 301, 206, 2006, 0.0975976437138044,   0
