Year, Market,  Pool, AmountEmittedOrRetained
7, 300, 208, 2.04650987765862
8, 300, 208, 2.02783593610162
9, 300, 208, 2.55504822128028
10, 300, 208, 2.54946718130566
11, 300, 208, 2.52601364673723
12, 300, 208, 2.50277587030358
13, 300, 208, 2.47975186716221
14, 300, 208, 2.45693967072991
15, 300, 208, 2.43433733251487
16, 300, 208, 2.41194292195017
17, 300, 208, 2.38975452622896
18, 300, 208, 2.36777025014101
19, 300, 208, 2.34598821591088
1, 300, 209, 5.8453132326977
2, 300, 209, 5.1510251085938
3, 300, 209, 5.10540651051188
4, 300, 209, 3.61445073538571
5, 300, 209, 4.39309820007699
6, 300, 209, 3.11267685531902
7, 300, 209, 2.23014125534667
8, 300, 209, 1.57708422170984
9, 300, 209, 3.81049880377838
10, 300, 209, 2.76240881272763
11, 300, 209, 1.95331800388919
12, 300, 209, 1.38120440636382
13, 300, 209, 0.976659001944595
14, 300, 209, 0.690602203181908
15, 300, 209, 0.488329500972297
16, 300, 209, 0.345292588025309
17, 300, 209, 0.244158730486149
18, 300, 209, 0.172646294012654
19, 300, 209, 0.122079365243074
1, 300, 210, 2.07028255561254
2, 300, 210, 2.39731330862021
3, 300, 210, 2.91017610346359
4, 300, 210, 2.86609499545482
5, 300, 210, 3.50716105561575
6, 300, 210, 3.45401169417946
7, 300, 210, 3.39965800649583
8, 300, 210, 3.33847278409319
9, 300, 210, 4.2248385126837
10, 300, 210, 4.17955875330821
11, 300, 210, 4.1040117227184
12, 300, 210, 4.02983023193023
13, 300, 210, 3.95698959831971
14, 300, 210, 3.88546558541017
15, 300, 210, 3.81523439480798
16, 300, 210, 3.74627265828407
17, 300, 210, 3.67855742999852
18, 300, 210, 3.61206617886573
19, 300, 210, 3.5467767810576
1, 301, 204, 14.9444057811748
2, 301, 204, 17.4605597470324
3, 301, 204, 21.341514816334
4, 301, 204, 21.2392933971691
5, 301, 204, 26.0778630098456
6, 301, 204, 25.9517377435238
7, 301, 204, 25.8109518449642
8, 301, 204, 25.6148404559608
