Year, Market,  Pool, AmountEmittedOrRetained
14, 301, 400, 90.0651264424435
15, 301, 400, 63.6856616558756
16, 301, 400, 45.0325632212217
17, 301, 400, 31.8428308279378
18, 301, 400, 22.5162816106109
19, 301, 400, 15.9214154139689
1, 301, 401, 73.9387726027293
2, 301, 401, 67.1043003176157
3, 301, 401, 74.0203160277705
4, 301, 401, 53.8743772898921
5, 301, 401, 70.2769241748172
6, 301, 401, 51.7589309863415
7, 301, 401, 36.8041895306121
8, 301, 401, 26.0740976551913
9, 301, 401, 51.119297027445
10, 301, 401, 40.0289450855304
11, 301, 401, 28.3047385137225
12, 301, 401, 20.0144725427652
13, 301, 401, 14.1523692568612
14, 301, 401, 10.0072362713826
15, 301, 401, 7.07618462843062
16, 301, 401, 5.0036181356913
17, 301, 401, 3.53809231421531
18, 301, 401, 2.50180906784565
19, 301, 401, 1.76904615710766
1, 0, 1002, 31148.55238
2, 0, 1002, 5854.618238
3, 0, 1002, 10390.274265
5, 0, 1002, 12666.83154
6, 0, 1002, 576.382172
7, 0, 1002, 76.176672
9, 0, 1002, 13853.220753
10, 0, 1002, 1083.987572
4, 0, 1002, 498.99857
8, 0, 1002, 15.42565
1, 0, 9999, 7617.91408993577
1, 0, 2999, 147.697965538186
2, 0, 9999, 9688.50217377121
2, 0, 2999, 190.977263685193
3, 0, 9999, 12769.2813113348
3, 0, 2999, 246.979238470319
4, 0, 9999, 13690.2394059146
4, 0, 2999, 259.90769212053
5, 0, 9999, 17041.5980928537
5, 0, 2999, 318.87936169189
6, 0, 9999, 17789.5776132627
6, 0, 2999, 327.729772176089
7, 0, 9999, 18360.2323462632
7, 0, 2999, 329.66723471907
8, 0, 9999, 18697.2165677876
8, 0, 2999, 326.804092151644
9, 0, 9999, 22348.9878440543
9, 0, 2999, 387.830633868566
10, 0, 9999, 22922.4170183382
10, 0, 2999, 391.170939921505
11, 0, 9999, 23316.1454261104
11, 0, 2999, 387.109167083738
12, 0, 9999, 23543.4101924353
12, 0, 2999, 379.839109483028
13, 0, 9999, 23651.4740080864
13, 0, 2999, 370.501083784671
14, 0, 9999, 23678.3648845218
14, 0, 2999, 359.891472928762
15, 0, 9999, 23650.8090537425
15, 0, 2999, 348.563992134416
16, 0, 9999, 23587.5497300449
16, 0, 2999, 336.901264134841
17, 0, 9999, 23501.6933659518
17, 0, 2999, 325.165401800113
18, 0, 9999, 23402.3682694252
18, 0, 2999, 313.533748541142
19, 0, 9999, 23295.8970121481
19, 0, 2999, 302.124125357204
20, 0, 9999, 7690.35575503505
1, 0, 1005, 111.466489081662
2, 0, 1005, 102.275707390077
3, 0, 1005, 113.409642619134
4, 0, 1005, 84.1709049530879
5, 0, 1005, 109.331297222806
6, 0, 1005, 82.4452170615912
7, 0, 1005, 60.720810233066
8, 0, 1005, 45.1053084836841
9, 0, 1005, 83.3092984841509
10, 0, 1005, 67.2201568327436
11, 0, 1005, 50.1480057001719
12, 0, 1005, 38.0548183329506
13, 0, 1005, 29.4824656273001
14, 0, 1005, 23.3998931502264
15, 0, 1005, 19.0780338766894
16, 0, 1005, 16.0013581377109
17, 0, 1005, 13.8053299887841
18, 0, 1005, 12.2321821837552
19, 0, 1005, 11.099644358857
