Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 1, 1, 301, 210, 210, 0, 828.113022245015 
5, 1, 2, 301, 210, 210, 0, 813.144580953493 
5, 1, 3, 301, 210, 210, 0, 798.446699632263 
5, 1, 4, 301, 210, 210, 0, 784.014487812366 
5, 1, 5, 301, 210, 210, 0, 769.843143421829 
5, 1, 6, 301, 210, 210, 0, 755.927951187862 
5, 1, 7, 301, 210, 210, 0, 742.26428106793 
5, 1, 8, 301, 210, 210, 0, 728.847586709183 
5, 1, 9, 301, 210, 210, 0, 715.67340393574 
5, 1, 10, 301, 210, 210, 0, 702.737349263306 
5, 1, 11, 301, 210, 210, 0, 690.035118440644 
5, 1, 12, 301, 210, 210, 0, 677.562485017411 
5, 1, 13, 301, 210, 210, 0, 665.315298937876 
5, 1, 14, 301, 210, 210, 0, 653.289485160059 
5, 1, 15, 301, 210, 210, 0, 641.481042299836 
5, 1, 16, 301, 210, 210, 0, 629.886041299539 
5, 1, 17, 301, 210, 210, 0, 618.500624120636 
5, 1, 18, 301, 210, 210, 0, 607.321002460031 
5, 1, 19, 301, 210, 210, 0, 596.34345648957 
5, 1, 1, 300, 200, 200, 0, 369.693863013646 
5, 1, 2, 300, 200, 200, 0, 261.4130375 
5, 1, 3, 300, 200, 200, 0, 184.846931506823 
5, 1, 4, 300, 200, 200, 0, 130.70651875 
5, 1, 5, 300, 200, 200, 0, 92.4234657534116 
5, 1, 6, 300, 200, 200, 0, 65.353259375 
5, 1, 7, 300, 200, 200, 0, 46.2117328767058 
5, 1, 8, 300, 200, 200, 0, 32.6766296875 
5, 1, 9, 300, 200, 200, 0, 23.1058664383529 
5, 1, 10, 300, 200, 200, 0, 16.33831484375 
5, 1, 11, 300, 200, 200, 0, 11.5529332191765 
5, 1, 12, 300, 200, 200, 0, 8.169157421875 
5, 1, 13, 300, 200, 200, 0, 5.77646660958823 
5, 1, 14, 300, 200, 200, 0, 4.0845787109375 
5, 1, 15, 300, 200, 200, 0, 2.88823330479411 
